0,42000,0,0,0,3.0807,0,0,3.0807,0,42003,0,0,0,3.0807,0,0,3.0807,0,42000,2.8284,0,0,3.0807,0,0,3.0807,0,42000,0,2.8284,0,3.0807,0,0,3.0807,0,42000,0,0,0.0028284,3.0807,0,0.0028284,3.0807,0,42000,0,0,0,3.0835,0,0,3.0835,0,42000,0,0,0,3.0807,0.0028284,0,3.0807,0.0028284,41997,0,0,0,3.0807,0,0,3.0807,0,42000,-2.8284,0,0,3.0807,0,0,3.0807,0,42000,0,-2.8284,0,3.0807,0,0,3.0807,0,42000,0,0,-0.0028284,3.0807,0,-0.0028284,3.0807,0,42000,0,0,0,3.0778,0,0,3.0778,0,42000,0,0,0,3.0807,-0.0028284,0,3.0807,-0.0028284,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1e-06,0,0,1e-06,0,1e-06
5.3123e+08,41483,6570.3,0.0029431,-0.48192,3.0427,2.8048e-06,-0.48192,3.0427,2.8048e-06,41486,6570.2,0.002943,-0.48191,3.0427,2.8048e-06,-0.48191,3.0427,2.8048e-06,41483,6573.1,0.0029429,-0.48192,3.0427,2.8048e-06,-0.48192,3.0427,2.8048e-06,41483,6570.3,2.8793,-0.48192,3.0427,8.7981e-06,-0.48192,3.0427,8.7981e-06,41489,6570.3,0.0029434,-0.47902,3.0428,2.805e-06,-0.47902,3.0428,2.805e-06,41483,6576.3,0.0029434,-0.48191,3.0455,2.805e-06,-0.48191,3.0455,2.805e-06,41483,6570.3,5.9962,-0.48192,3.0427,0.0027966,-0.48192,3.0427,0.0027966,41480,6570.3,0.0029433,-0.48193,3.0427,2.8048e-06,-0.48193,3.0427,2.8048e-06,41483,6567.4,0.0029433,-0.48192,3.0427,2.8048e-06,-0.48192,3.0427,2.8048e-06,41483,6570.3,-2.8734,-0.48192,3.0427,-3.1885e-06,-0.48192,3.0427,-3.1885e-06,41477,6570.2,0.0029429,-0.48482,3.0427,2.8046e-06,-0.48482,3.0427,2.8046e-06,41483,6564.3,0.0029428,-0.48193,3.0399,2.8046e-06,-0.48193,3.0399,2.8046e-06,41483,6570.3,-5.9903,-0.48192,3.0427,-0.002791,-0.48192,3.0427,-0.002791,5.7111,0.01275,3.0914e-07,0.002235,1.312e-05,2.3214e-10,5.5252,3.2659e-07,1.3002e-05,0.0020966,2.4308e-10,5.5241,2.3232e-10,2.4331e-10,0.0020951,1.0498e-06,7.7705e-09,1.2347e-13,9.7657e-07,1.2701e-13,9.7566e-07
5.3123e+08,39944,12979,0.012205,-0.95197,2.9299,5.8781e-06,-0.95197,2.9299,5.8781e-06,39947,12979,0.012204,-0.95196,2.9299,5.8781e-06,-0.95196,2.9299,5.8781e-06,39944,12982,0.012204,-0.95197,2.9299,5.8781e-06,-0.95197,2.9299,5.8781e-06,39944,12979,3.0374,-0.95197,2.9299,1.7713e-05,-0.95197,2.9299,1.7713e-05,39957,12979,0.012206,-0.94888,2.93,5.8788e-06,-0.94888,2.93,5.8788e-06,39945,12991,0.012206,-0.95189,2.9326,5.8788e-06,-0.95189,2.9326,5.8788e-06,39944,12979,11.848,-0.95197,2.9299,0.0026966,-0.95197,2.9299,0.0026966,39942,12979,0.012206,-0.95198,2.9299,5.8781e-06,-0.95198,2.9299,5.8781e-06,39944,12976,0.012206,-0.95197,2.9299,5.8781e-06,-0.95197,2.9299,5.8781e-06,39944,12979,-3.013,-0.95197,2.9299,-5.9573e-06,-0.95197,2.9299,-5.9573e-06,39932,12979,0.012204,-0.95507,2.9298,5.8774e-06,-0.95507,2.9298,5.8774e-06,39944,12967,0.012204,-0.95206,2.9272,5.8774e-06,-0.95206,2.9272,5.8774e-06,39944,12979,-11.823,-0.95197,2.9299,-0.0026849,-0.95197,2.9299,-0.0026849,20.736,0.31228,3.5767e-06,0.0048814,0.00017637,1.591e-09,18.711,3.6212e-06,0.00017206,0.0040245,1.5608e-09,18.654,1.593e-09,1.5699e-09,0.0039852,1.1979e-06,6.19e-08,5.2997e-13,9.1964e-07,4.9876e-13,9.0502e-07
5.3124e+08,37422,19068,0.02821,-1.3986,2.7449,9.0789e-06,-1.3986,2.7449,9.0789e-06,37425,19067,0.028209,-1.3986,2.7449,9.0789e-06,-1.3986,2.7449,9.0789e-06,37422,19071,0.028209,-1.3986,2.7449,9.0789e-06,-1.3986,2.7449,9.0789e-06,37422,19068,3.3202,-1.3986,2.7449,2.6457e-05,-1.3986,2.7449,2.6457e-05,37442,19068,0.028214,-1.3952,2.7452,9.0807e-06,-1.3952,2.7452,9.0807e-06,37423,19085,0.028215,-1.3983,2.7475,9.0806e-06,-1.3983,2.7475,9.0806e-06,37422,19068,17.406,-1.3986,2.7449,0.0025309,-1.3986,2.7449,0.0025309,37420,19068,0.028212,-1.3986,2.7449,9.0789e-06,-1.3986,2.7449,9.0789e-06,37423,19064,0.028212,-1.3986,2.7449,9.0789e-06,-1.3986,2.7449,9.0789e-06,37422,19068,-3.2638,-1.3986,2.7449,-8.2989e-06,-1.3986,2.7449,-8.2989e-06,37403,19067,0.028206,-1.402,2.7446,9.0771e-06,-1.402,2.7446,9.0771e-06,37422,19050,0.028206,-1.3989,2.7423,9.0772e-06,-1.3989,2.7423,9.0772e-06,37422,19068,-17.35,-1.3986,2.7449,-0.0025128,-1.3986,2.7449,-0.0025128,48.626,2.208,1.781e-05,0.0082943,0.00085492,5.7079e-09,39.725,1.6959e-05,0.00081305,0.0057703,5.1238e-09,39.103,5.6804e-09,5.214e-09,0.0054852,1.4402e-06,2.0781e-07,1.364e-12,8.6927e-07,1.1533e-12,7.95e-07
5.3124e+08,33979,24687,0.051079,-1.8108,2.4923,1.2263e-05,-1.8108,2.4923,1.2263e-05,33981,24687,0.051076,-1.8107,2.4923,1.2263e-05,-1.8107,2.4923,1.2263e-05,33978,24691,0.051075,-1.8108,2.4924,1.2263e-05,-1.8108,2.4924,1.2263e-05,33979,24687,3.7629,-1.8108,2.4923,3.474e-05,-1.8108,2.4923,3.474e-05,34006,24688,0.051088,-1.807,2.493,1.2267e-05,-1.807,2.493,1.2267e-05,33980,24710,0.051089,-1.8101,2.4949,1.2266e-05,-1.8101,2.4949,1.2266e-05,33979,24687,22.528,-1.8108,2.4923,0.0023036,-1.8108,2.4923,0.0023036,33976,24688,0.051081,-1.8108,2.4923,1.2263e-05,-1.8108,2.4923,1.2263e-05,33979,24684,0.051082,-1.8108,2.4923,1.2263e-05,-1.8108,2.4923,1.2263e-05,33979,24687,-3.6607,-1.8108,2.4923,-1.0213e-05,-1.8108,2.4923,-1.0213e-05,33952,24686,0.051069,-1.8145,2.4917,1.226e-05,-1.8145,2.4917,1.226e-05,33977,24664,0.051069,-1.8114,2.4897,1.226e-05,-1.8114,2.4897,1.226e-05,33979,24687,-22.425,-1.8108,2.4923,-0.0022791,-1.8108,2.4923,-0.0022791,93.234,8.9293,6.0022e-05,0.012715,0.0026389,1.5418e-08,68.264,5.388e-05,0.0024205,0.0076164,1.28e-08,64.871,1.5018e-08,1.325e-08,0.0064482,1.7665e-06,4.8986e-07,2.8897e-12,8.9394e-07,2.2879e-12,6.5637e-07
5.3124e+08,29699,29699,0.080619,-2.1783,2.1784,1.5287e-05,-2.1783,2.1784,1.5287e-05,29701,29698,0.080615,-2.1783,2.1784,1.5287e-05,-2.1783,2.1784,1.5287e-05,29698,29702,0.080612,-2.1783,2.1784,1.5287e-05,-2.1783,2.1784,1.5287e-05,29699,29699,4.4336,-2.1783,2.1784,4.2278e-05,-2.1783,2.1784,4.2278e-05,29734,29702,0.080638,-2.1743,2.1795,1.5293e-05,-2.1743,2.1795,1.5293e-05,29702,29727,0.08064,-2.1772,2.1811,1.5293e-05,-2.1772,2.1811,1.5293e-05,29699,29699,27.072,-2.1783,2.1784,0.0020205,-2.1783,2.1784,0.0020205,29696,29700,0.080624,-2.1784,2.1784,1.5287e-05,-2.1784,2.1784,1.5287e-05,29700,29695,0.080626,-2.1783,2.1784,1.5287e-05,-2.1783,2.1784,1.5287e-05,29699,29699,-4.2724,-2.1783,2.1784,-1.1705e-05,-2.1783,2.1784,-1.1705e-05,29663,29696,0.080601,-2.1823,2.1773,1.5281e-05,-2.1823,2.1773,1.5281e-05,29695,29670,0.080598,-2.1795,2.1757,1.5281e-05,-2.1795,2.1757,1.5281e-05,29699,29699,-26.911,-2.1783,2.1784,-0.0019899,-2.1783,2.1784,-0.0019899,159.09,26.299,0.00016177,0.018205,0.0063192,3.5521e-08,106.09,0.00014006,0.0055265,0.010266,2.8356e-08,93.435,3.3118e-08,2.9792e-08,0.00678,2.1521e-06,9.4964e-07,5.4687e-12,1.0966e-06,4.3872e-12,5.0269e-07
5.3124e+08,24687,33979,0.11634,-2.4923,1.8108,1.801e-05,-2.4923,1.8108,1.801e-05,24690,33978,0.11633,-2.4922,1.8108,1.801e-05,-2.4922,1.8108,1.801e-05,24686,33983,0.11632,-2.4923,1.8109,1.801e-05,-2.4923,1.8109,1.801e-05,24687,33979,5.4718,-2.4923,1.8108,4.8788e-05,-2.4923,1.8108,4.8788e-05,24731,33984,0.11637,-2.4881,1.8126,1.802e-05,-2.4881,1.8126,1.802e-05,24695,34014,0.11638,-2.4905,1.814,1.802e-05,-2.4905,1.814,1.802e-05,24687,33979,30.895,-2.4923,1.8108,0.0016887,-2.4923,1.8108,0.0016887,24684,33981,0.11634,-2.4923,1.8108,1.801e-05,-2.4923,1.8108,1.801e-05,24689,33975,0.11635,-2.4923,1.8108,1.801e-05,-2.4923,1.8108,1.801e-05,24687,33979,-5.2392,-2.4923,1.8108,-1.2769e-05,-2.4923,1.8108,-1.2769e-05,24643,33974,0.11631,-2.4964,1.8091,1.8e-05,-2.4964,1.8091,1.8e-05,24679,33944,0.1163,-2.494,1.8077,1.7999e-05,-2.494,1.8077,1.7999e-05,24687,33979,-30.662,-2.4923,1.8108,-0.0016527,-2.4923,1.8108,-0.0016527,250.41,63.084,0.00037578,0.024542,0.012841,7.3522e-08,159.09,0.00032522,0.010572,0.014959,5.9327e-08,122,6.3898e-08,6.2527e-08,0.0064482,2.5443e-06,1.6161e-06,9.5047e-12,1.6253e-06,8.3864e-12,3.4901e-07
5.3125e+08,19068,37423,0.15745,-2.7448,1.3987,2.0299e-05,-2.7448,1.3987,2.0299e-05,19072,37421,0.15744,-2.7448,1.3987,2.0299e-05,-2.7448,1.3987,2.0299e-05,19066,37427,0.15742,-2.7448,1.3987,2.0299e-05,-2.7448,1.3987,2.0299e-05,19068,37423,7.1993,-2.7448,1.3987,5.3952e-05,-2.7448,1.3987,5.3952e-05,19120,37432,0.1575,-2.7408,1.4012,2.0313e-05,-2.7408,1.4012,2.0313e-05,19082,37465,0.15752,-2.7424,1.4026,2.0316e-05,-2.7424,1.4026,2.0316e-05,19068,37423,33.811,-2.7448,1.3987,0.0013172,-2.7448,1.3987,0.0013172,19064,37425,0.15746,-2.7449,1.3987,2.0298e-05,-2.7449,1.3987,2.0298e-05,19070,37419,0.15747,-2.7449,1.3986,2.0298e-05,-2.7449,1.3986,2.0298e-05,19068,37423,-6.8844,-2.7448,1.3987,-1.3355e-05,-2.7448,1.3987,-1.3355e-05,19016,37414,0.1574,-2.7489,1.3962,2.0284e-05,-2.7489,1.3962,2.0284e-05,19054,37380,0.15737,-2.7473,1.3948,2.0281e-05,-2.7473,1.3948,2.0281e-05,19068,37423,-33.496,-2.7448,1.3987,-0.0012766,-2.7448,1.3987,-0.0012766,369.64,130.82,0.00078192,0.03109,0.023192,1.4014e-07,239.8,0.00070337,0.017704,0.023578,1.1972e-07,147.77,1.1029e-07,1.244e-07,0.0054852,2.8503e-06,2.481e-06,1.531e-11,2.6811e-06,1.5886e-11,2.1038e-07
5.3125e+08,12979,39945,0.20288,-2.9298,0.95207,2.203e-05,-2.9298,0.95207,2.203e-05,12985,39942,0.20286,-2.9298,0.9521,2.203e-05,-2.9298,0.9521,2.203e-05,12976,39949,0.20283,-2.9298,0.95213,2.203e-05,-2.9298,0.95213,2.203e-05,12979,39945,10.522,-2.9298,0.95207,5.7233e-05,-2.9298,0.95207,5.7233e-05,13039,39958,0.20295,-2.9261,0.95521,2.205e-05,-2.9261,0.95521,2.205e-05,13002,39998,0.20301,-2.9267,0.9572,2.2059e-05,-2.9267,0.9572,2.2059e-05,12979,39945,35.406,-2.9298,0.95207,0.00091739,-2.9298,0.95207,0.00091739,12973,39948,0.2029,-2.9299,0.95205,2.203e-05,-2.9299,0.95205,2.203e-05,12982,39941,0.20292,-2.9298,0.95202,2.203e-05,-2.9298,0.95202,2.203e-05,12979,39945,-10.116,-2.9298,0.95207,-1.3173e-05,-2.9298,0.95207,-1.3173e-05,12920,39932,0.20281,-2.9335,0.94894,2.201e-05,-2.9335,0.94894,2.201e-05,12956,39892,0.20275,-2.933,0.94695,2.2002e-05,-2.933,0.94695,2.2002e-05,12979,39945,-35,-2.9298,0.95207,-0.00087333,-2.9298,0.95207,-0.00087333,515.36,242.74,0.0014895,0.036657,0.038168,2.4911e-07,370.34,0.0014435,0.026457,0.038718,2.3365e-07,168.22,1.7182e-07,2.353e-07,0.0039853,2.9402e-06,3.4576e-06,2.2815e-11,4.5109e-06,2.9393e-11,1.0036e-07
5.3125e+08,6570.8,41484,0.25132,-3.0427,0.48205,2.3093e-05,-3.0427,0.48205,2.3093e-05,6579.7,41480,0.25129,-3.0426,0.48208,2.3093e-05,-3.0426,0.48208,2.3093e-05,6566.8,41488,0.25122,-3.0426,0.48211,2.3093e-05,-3.0426,0.48211,2.3093e-05,6570.8,41484,18.957,-3.0427,0.48205,5.6272e-05,-3.0427,0.48205,5.6272e-05,6635.1,41500,0.25141,-3.0397,0.48558,2.3118e-05,-3.0397,0.48558,2.3118e-05,6605.4,41550,0.25156,-3.0391,0.48886,2.3138e-05,-3.0391,0.48886,2.3138e-05,6570.8,41484,33.431,-3.0427,0.48205,0.00050962,-3.0427,0.48205,0.00050962,6561.8,41488,0.25136,-3.0427,0.48201,2.3093e-05,-3.0427,0.48201,2.3093e-05,6574.7,41480,0.25143,-3.0427,0.48198,2.3093e-05,-3.0427,0.48198,2.3093e-05,6570.8,41484,-18.455,-3.0427,0.48205,-1.0086e-05,-3.0427,0.48205,-1.0086e-05,6506.4,41468,0.25124,-3.0457,0.47851,2.3067e-05,-3.0457,0.47851,2.3067e-05,6536.1,41418,0.25109,-3.0462,0.47523,2.3048e-05,-3.0462,0.47523,2.3048e-05,6570.8,41484,-32.928,-3.0427,0.48205,-0.00046343,-3.0427,0.48205,-0.00046343,679.72,411.19,0.0026314,0.03945,0.057974,4.1537e-07,585.38,0.0028322,0.035307,0.063619,4.3979e-07,181.35,2.4083e-07,4.2346e-07,0.0020954,2.6812e-06,4.3333e-06,3.1037e-11,7.3686e-06,5.2478e-11,2.9726e-08
